step,value,moving_avg
0,21.0,21.0
1,14.0,17.5
2,26.0,20.333333333333332
3,14.0,18.75
4,18.0,18.6
5,30.0,20.5
6,28.0,21.571428571428573
7,22.0,21.625
8,19.0,21.333333333333332
9,44.0,23.6
10,34.0,24.545454545454547
11,32.0,25.166666666666668
12,11.0,24.076923076923077
13,53.0,26.142857142857142
14,65.0,28.733333333333334
15,11.0,27.625
16,28.0,27.647058823529413
17,42.0,28.444444444444443
18,13.0,27.63157894736842
19,50.0,28.75
20,11.0,27.904761904761905
21,38.0,28.363636363636363
22,10.0,27.565217391304348
23,20.0,27.25
24,30.0,27.36
25,17.0,26.96153846153846
26,36.0,27.296296296296298
27,11.0,26.714285714285715
28,9.0,26.103448275862068
29,12.0,25.633333333333333
30,23.0,25.548387096774192
31,10.0,25.0625
32,28.0,25.151515151515152
33,19.0,24.970588235294116
34,29.0,25.085714285714285
35,29.0,25.194444444444443
36,14.0,24.89189189189189
37,18.0,24.710526315789473
38,20.0,24.58974358974359
39,14.0,24.325
40,19.0,24.195121951219512
41,19.0,24.071428571428573
42,15.0,23.86046511627907
43,15.0,23.65909090909091
44,14.0,23.444444444444443
45,28.0,23.543478260869566
46,24.0,23.5531914893617
47,29.0,23.666666666666668
48,8.0,23.346938775510203
49,8.0,23.04
50,27.0,23.16
51,9.0,23.06
52,23.0,23.0
53,9.0,22.9
54,22.0,22.98
55,11.0,22.6
56,8.0,22.2
57,9.0,21.94
58,32.0,22.2
59,46.0,22.24
60,9.0,21.74
61,17.0,21.44
62,19.0,21.6
63,23.0,21.0
64,25.0,20.2
65,13.0,20.24
66,25.0,20.18
67,34.0,20.02
68,32.0,20.4
69,168.0,22.76
70,15.0,22.84
71,10.0,22.28
72,9.0,22.26
73,10.0,22.06
74,8.0,21.62
75,11.0,21.5
76,9.0,20.96
77,9.0,20.92
78,65.0,22.04
79,8.0,21.96
80,9.0,21.68
81,10.0,21.68
82,36.0,21.84
83,53.0,22.52
84,13.0,22.2
85,44.0,22.5
86,178.0,25.78
87,24.0,25.9
88,98.0,27.46
89,24.0,27.66
90,9.0,27.46
91,72.0,28.52
92,25.0,28.72
93,200.0,32.42
94,137.0,34.88
95,28.0,34.88
96,27.0,34.94
97,11.0,34.58
98,53.0,35.48
99,17.0,35.66
100,39.0,35.9
101,10.0,35.92
102,37.0,36.2
103,180.0,39.62
104,131.0,41.8
105,9.0,41.76
106,214.0,45.88
107,192.0,49.54
108,28.0,49.46
109,11.0,48.76
110,9.0,48.76
111,36.0,49.14
112,37.0,49.5
113,10.0,49.24
114,10.0,48.94
115,206.0,52.8
116,11.0,52.52
117,212.0,56.08
118,9.0,55.62
119,8.0,52.42
120,9.0,52.3
121,8.0,52.26
122,151.0,55.1
123,8.0,55.06
124,187.0,58.64
125,27.0,58.96
126,24.0,59.26
127,36.0,59.8
128,12.0,58.74
129,198.0,62.54
130,29.0,62.94
131,54.0,63.82
132,18.0,63.46
133,17.0,62.74
134,204.0,66.56
135,236.0,70.4
136,181.0,70.46
137,9.0,70.16
138,8.0,68.36
139,23.0,68.34
140,171.0,71.58
141,26.0,70.66
142,18.0,70.52
143,152.0,69.56
144,19.0,67.2
145,32.0,67.28
146,15.0,67.04
147,12.0,67.06
148,33.0,66.66
149,29.0,66.9
150,9.0,66.3
151,63.0,67.36
152,32.0,67.26
153,305.0,69.76
154,159.0,70.32
155,172.0,73.58
156,206.0,73.42
157,203.0,73.64
158,143.0,75.94
159,30.0,76.32
160,9.0,76.32
161,205.0,79.7
162,252.0,84.0
163,45.0,84.7
164,71.0,85.92
165,270.0,87.2
166,33.0,87.64
167,8.0,83.56
168,9.0,83.56
169,24.0,83.88
170,24.0,84.18
171,147.0,86.96
172,43.0,84.8
173,44.0,85.52
174,11.0,82.0
175,142.0,84.3
176,18.0,84.18
177,30.0,84.06
178,39.0,84.6
179,39.0,81.42
180,38.0,81.6
181,107.0,82.66
182,10.0,82.5
183,95.0,84.06
184,8.0,80.14
185,9.0,75.6
186,9.0,72.16
187,9.0,72.16
188,9.0,72.18
189,9.0,71.9
190,93.0,70.34
191,40.0,70.62
192,24.0,70.74
193,19.0,68.08
194,36.0,68.42
195,318.0,74.14
196,233.0,78.5
197,192.0,82.1
198,30.0,82.04
199,23.0,81.92
