step,value,moving_avg
0,14.0,14.0
1,11.0,12.5
2,19.0,14.666666666666666
3,17.0,15.25
4,16.0,15.4
5,10.0,14.5
6,27.0,16.285714285714285
7,13.0,15.875
8,24.0,16.77777777777778
9,20.0,17.1
10,19.0,17.272727272727273
11,17.0,17.25
12,35.0,18.615384615384617
13,16.0,18.428571428571427
14,9.0,17.8
15,14.0,17.5625
16,18.0,17.58823529411765
17,19.0,17.666666666666668
18,25.0,18.05263157894737
19,34.0,18.85
20,17.0,18.761904761904763
21,14.0,18.545454545454547
22,14.0,18.347826086956523
23,49.0,19.625
24,15.0,19.44
25,20.0,19.46153846153846
26,18.0,19.40740740740741
27,16.0,19.285714285714285
28,20.0,19.310344827586206
29,16.0,19.2
30,17.0,19.129032258064516
31,22.0,19.21875
32,18.0,19.181818181818183
33,22.0,19.264705882352942
34,14.0,19.114285714285714
35,22.0,19.194444444444443
36,21.0,19.243243243243242
37,11.0,19.026315789473685
38,25.0,19.17948717948718
39,25.0,19.325
40,13.0,19.170731707317074
41,42.0,19.714285714285715
42,16.0,19.627906976744185
43,21.0,19.65909090909091
44,90.0,21.22222222222222
45,22.0,21.23913043478261
46,13.0,21.06382978723404
47,13.0,20.895833333333332
48,20.0,20.877551020408163
49,18.0,20.82
50,23.0,21.0
51,23.0,21.24
52,12.0,21.1
53,31.0,21.38
54,11.0,21.28
55,44.0,21.96
56,17.0,21.76
57,30.0,22.1
58,23.0,22.08
59,12.0,21.92
60,29.0,22.12
61,12.0,22.02
62,11.0,21.54
63,14.0,21.5
64,9.0,21.5
65,27.0,21.76
66,168.0,24.76
67,45.0,25.28
68,8.0,24.94
69,8.0,24.42
70,9.0,24.26
71,36.0,24.7
72,9.0,24.6
73,47.0,24.56
74,41.0,25.08
75,444.0,33.56
76,11.0,33.42
77,30.0,33.7
78,70.0,34.7
79,132.0,37.02
80,9.0,36.86
81,9.0,36.6
82,18.0,36.6
83,209.0,40.34
84,9.0,40.24
85,124.0,42.28
86,20.0,42.26
87,62.0,43.28
88,35.0,43.48
89,9.0,43.16
90,24.0,43.38
91,10.0,42.74
92,21.0,42.84
93,9.0,42.6
94,9.0,40.98
95,11.0,40.76
96,206.0,44.62
97,48.0,45.32
98,140.0,47.72
99,192.0,51.2
100,57.0,51.88
101,8.0,51.58
102,24.0,51.82
103,27.0,51.74
104,21.0,51.94
105,9.0,51.24
106,22.0,51.34
107,33.0,51.4
108,9.0,51.12
109,161.0,54.1
110,11.0,53.74
111,179.0,57.08
112,165.0,60.16
113,9.0,60.06
114,9.0,60.06
115,21.0,59.94
116,229.0,61.16
117,9.0,60.44
118,9.0,60.46
119,9.0,60.48
120,15.0,60.6
121,176.0,63.4
122,190.0,67.02
123,10.0,66.28
124,180.0,69.06
125,30.0,60.78
126,237.0,65.3
127,8.0,64.86
128,25.0,63.96
129,169.0,64.7
130,16.0,64.84
131,21.0,65.08
132,171.0,68.14
133,45.0,64.86
134,153.0,67.74
135,39.0,66.04
136,182.0,69.28
137,150.0,71.04
138,238.0,75.1
139,13.0,75.18
140,51.0,75.72
141,12.0,75.76
142,9.0,75.52
143,20.0,75.74
144,11.0,75.78
145,231.0,80.18
146,39.0,76.84
147,24.0,76.36
148,500.0,83.56
149,34.0,80.4
150,167.0,82.6
151,100.0,84.44
152,34.0,84.64
153,218.0,88.46
154,155.0,91.14
155,11.0,91.18
156,138.0,93.5
157,25.0,93.34
158,43.0,94.02
159,27.0,91.34
160,27.0,91.66
161,23.0,88.54
162,33.0,85.9
163,155.0,88.82
164,292.0,94.48
165,9.0,94.24
166,150.0,92.66
167,23.0,92.94
168,9.0,92.94
169,9.0,92.94
170,17.0,92.98
171,8.0,89.62
172,24.0,86.3
173,11.0,86.32
174,15.0,83.02
175,8.0,82.58
176,9.0,78.02
177,31.0,78.48
178,86.0,79.7
179,38.0,77.08
180,500.0,86.76
181,179.0,89.92
182,148.0,89.46
183,22.0,89.0
184,157.0,89.08
185,9.0,88.48
186,53.0,85.9
187,21.0,83.32
188,10.0,78.76
189,9.0,78.68
190,9.0,77.84
191,57.0,78.74
192,131.0,81.18
193,128.0,83.34
194,10.0,83.32
195,96.0,80.62
196,32.0,80.48
197,243.0,84.86
198,27.0,75.4
199,30.0,75.32
