step,value,moving_avg
0,17.0,17.0
1,9.0,13.0
2,25.0,17.0
3,16.0,16.75
4,24.0,18.2
5,13.0,17.333333333333332
6,46.0,21.428571428571427
7,39.0,23.625
8,9.0,22.0
9,28.0,22.6
10,18.0,22.181818181818183
11,16.0,21.666666666666668
12,15.0,21.153846153846153
13,14.0,20.642857142857142
14,11.0,20.0
15,25.0,20.3125
16,31.0,20.941176470588236
17,16.0,20.666666666666668
18,22.0,20.736842105263158
19,11.0,20.25
20,13.0,19.904761904761905
21,14.0,19.636363636363637
22,12.0,19.304347826086957
23,25.0,19.541666666666668
24,13.0,19.28
25,22.0,19.384615384615383
26,18.0,19.333333333333332
27,16.0,19.214285714285715
28,14.0,19.03448275862069
29,12.0,18.8
30,14.0,18.64516129032258
31,23.0,18.78125
32,18.0,18.757575757575758
33,38.0,19.323529411764707
34,15.0,19.2
35,23.0,19.305555555555557
36,40.0,19.864864864864863
37,30.0,20.13157894736842
38,11.0,19.897435897435898
39,21.0,19.925
40,15.0,19.804878048780488
41,12.0,19.61904761904762
42,25.0,19.74418604651163
43,23.0,19.818181818181817
44,48.0,20.444444444444443
45,26.0,20.565217391304348
46,15.0,20.4468085106383
47,15.0,20.333333333333332
48,33.0,20.591836734693878
49,13.0,20.44
50,34.0,20.78
51,10.0,20.8
52,37.0,21.04
53,21.0,21.14
54,16.0,20.98
55,19.0,21.1
56,30.0,20.78
57,18.0,20.36
58,25.0,20.68
59,24.0,20.6
60,9.0,20.42
61,18.0,20.46
62,9.0,20.34
63,22.0,20.5
64,30.0,20.88
65,9.0,20.56
66,18.0,20.3
67,13.0,20.24
68,13.0,20.06
69,8.0,20.0
70,35.0,20.44
71,38.0,20.92
72,48.0,21.64
73,14.0,21.42
74,26.0,21.68
75,32.0,21.88
76,35.0,22.22
77,8.0,22.06
78,43.0,22.64
79,10.0,22.6
80,10.0,22.52
81,32.0,22.7
82,9.0,22.52
83,15.0,22.06
84,10.0,21.96
85,11.0,21.72
86,61.0,22.14
87,31.0,22.16
88,27.0,22.48
89,22.0,22.5
90,39.0,22.98
91,101.0,24.76
92,9.0,24.44
93,9.0,24.16
94,18.0,23.56
95,13.0,23.3
96,21.0,23.42
97,44.0,24.0
98,81.0,24.96
99,20.0,25.1
100,110.0,26.62
101,39.0,27.2
102,31.0,27.08
103,297.0,32.6
104,112.0,34.52
105,49.0,35.12
106,117.0,36.86
107,49.0,37.48
108,28.0,37.54
109,9.0,37.24
110,9.0,37.24
111,8.0,37.04
112,9.0,37.04
113,13.0,36.86
114,28.0,36.82
115,9.0,36.82
116,9.0,36.64
117,22.0,36.82
118,9.0,36.74
119,11.0,36.8
120,8.0,36.26
121,25.0,36.0
122,24.0,35.52
123,24.0,35.72
124,10.0,35.4
125,26.0,35.28
126,9.0,34.76
127,9.0,34.78
128,173.0,37.38
129,8.0,37.34
130,196.0,41.06
131,193.0,44.28
132,50.0,45.1
133,9.0,44.98
134,44.0,45.66
135,8.0,45.6
136,38.0,45.14
137,9.0,44.7
138,36.0,44.88
139,69.0,45.82
140,35.0,45.74
141,64.0,45.0
142,29.0,45.4
143,40.0,46.02
144,23.0,46.12
145,11.0,46.08
146,9.0,45.84
147,8.0,45.12
148,10.0,43.7
149,36.0,44.02
150,89.0,43.6
151,47.0,43.76
152,39.0,43.92
153,137.0,40.72
154,9.0,38.66
155,39.0,38.46
156,23.0,36.58
157,9.0,35.78
158,31.0,35.84
159,20.0,36.06
160,195.0,39.78
161,8.0,39.78
162,9.0,39.78
163,9.0,39.7
164,39.0,39.92
165,28.0,40.3
166,42.0,40.96
167,42.0,41.36
168,9.0,41.36
169,80.0,42.74
170,9.0,42.76
171,25.0,42.76
172,29.0,42.86
173,27.0,42.92
174,46.0,43.64
175,39.0,43.9
176,283.0,49.38
177,79.0,50.78
178,158.0,50.48
179,9.0,50.5
180,15.0,46.88
181,19.0,43.4
182,165.0,45.7
183,28.0,46.08
184,9.0,45.38
185,27.0,45.76
186,9.0,45.18
187,10.0,45.2
188,149.0,47.46
189,25.0,46.58
190,71.0,47.3
191,322.0,52.46
192,30.0,52.48
193,62.0,52.92
194,214.0,56.74
195,163.0,59.78
196,9.0,59.78
197,23.0,60.08
198,10.0,60.08
199,37.0,60.1
