step,value,moving_avg
0,19.0,19.0
1,15.0,17.0
2,28.0,20.666666666666668
3,19.0,20.25
4,17.0,19.6
5,33.0,21.833333333333332
6,26.0,22.428571428571427
7,16.0,21.625
8,12.0,20.555555555555557
9,103.0,28.8
10,15.0,27.545454545454547
11,23.0,27.166666666666668
12,41.0,28.23076923076923
13,15.0,27.285714285714285
14,22.0,26.933333333333334
15,28.0,27.0
16,39.0,27.705882352941178
17,42.0,28.5
18,19.0,28.0
19,15.0,27.35
20,19.0,26.952380952380953
21,12.0,26.272727272727273
22,18.0,25.91304347826087
23,34.0,26.25
24,18.0,25.92
25,20.0,25.692307692307693
26,11.0,25.14814814814815
27,18.0,24.892857142857142
28,15.0,24.551724137931036
29,30.0,24.733333333333334
30,20.0,24.580645161290324
31,11.0,24.15625
32,17.0,23.939393939393938
33,25.0,23.970588235294116
34,14.0,23.685714285714287
35,13.0,23.38888888888889
36,10.0,23.027027027027028
37,48.0,23.68421052631579
38,31.0,23.871794871794872
39,11.0,23.55
40,15.0,23.341463414634145
41,22.0,23.30952380952381
42,18.0,23.186046511627907
43,25.0,23.227272727272727
44,38.0,23.555555555555557
45,12.0,23.304347826086957
46,12.0,23.06382978723404
47,11.0,22.8125
48,13.0,22.612244897959183
49,18.0,22.52
50,19.0,22.52
51,11.0,22.44
52,16.0,22.2
53,43.0,22.68
54,33.0,23.0
55,15.0,22.64
56,8.0,22.28
57,9.0,22.14
58,28.0,22.46
59,22.0,20.84
60,19.0,20.92
61,51.0,21.48
62,16.0,20.98
63,24.0,21.16
64,11.0,20.94
65,9.0,20.56
66,10.0,19.98
67,10.0,19.34
68,30.0,19.56
69,167.0,22.6
70,248.0,27.18
71,175.0,30.44
72,194.0,33.96
73,175.0,36.78
74,9.0,36.6
75,9.0,36.38
76,24.0,36.64
77,30.0,36.88
78,21.0,37.0
79,10.0,36.6
80,19.0,36.58
81,10.0,36.56
82,11.0,36.44
83,64.0,37.22
84,11.0,37.16
85,11.0,37.12
86,11.0,37.14
87,8.0,36.34
88,15.0,36.02
89,12.0,36.04
90,10.0,35.94
91,10.0,35.7
92,168.0,38.7
93,185.0,41.9
94,33.0,41.8
95,100.0,43.56
96,26.0,43.84
97,48.0,44.58
98,86.0,46.04
99,77.0,47.22
100,190.0,50.64
101,15.0,50.72
102,9.0,50.58
103,30.0,50.32
104,141.0,52.48
105,144.0,55.06
106,77.0,56.44
107,9.0,56.44
108,10.0,56.08
109,155.0,58.74
110,25.0,58.86
111,16.0,58.16
112,184.0,61.52
113,21.0,61.46
114,46.0,62.16
115,30.0,62.58
116,23.0,62.84
117,21.0,63.06
118,38.0,63.22
119,35.0,60.58
120,26.0,56.14
121,244.0,57.52
122,142.0,56.48
123,147.0,55.92
124,147.0,58.68
125,162.0,61.74
126,220.0,65.66
127,235.0,69.76
128,50.0,70.34
129,186.0,73.86
130,240.0,78.28
131,8.0,78.24
132,13.0,78.28
133,198.0,80.96
134,186.0,84.46
135,178.0,87.8
136,136.0,90.3
137,168.0,93.5
138,155.0,96.3
139,78.0,97.62
140,34.0,98.1
141,151.0,100.92
142,33.0,98.22
143,26.0,95.04
144,26.0,94.9
145,17.0,93.24
146,11.0,92.94
147,43.0,92.84
148,25.0,91.62
149,85.0,91.78
150,37.0,88.72
151,148.0,91.38
152,143.0,94.06
153,39.0,94.24
154,191.0,95.24
155,139.0,95.14
156,10.0,93.8
157,145.0,96.52
158,9.0,96.5
159,162.0,96.64
160,45.0,97.04
161,162.0,99.96
162,27.0,96.82
163,12.0,96.64
164,9.0,95.9
165,8.0,95.46
166,10.0,95.2
167,9.0,94.96
168,165.0,97.5
169,218.0,101.16
170,153.0,103.7
171,207.0,102.96
172,164.0,103.4
173,8.0,100.62
174,186.0,101.4
175,10.0,98.36
176,9.0,94.14
177,206.0,93.56
178,90.0,94.36
179,145.0,93.54
180,106.0,90.86
181,11.0,90.92
182,12.0,90.9
183,117.0,89.28
184,44.0,86.44
185,109.0,85.06
186,34.0,83.02
187,147.0,82.6
188,35.0,80.2
189,56.0,79.76
190,9.0,79.26
191,22.0,76.68
192,99.0,78.0
193,224.0,81.96
194,43.0,82.3
195,41.0,82.78
196,9.0,82.74
197,177.0,85.42
198,33.0,85.58
199,47.0,84.82
